Id,Genre
1,Action
1,Adventure
1,Sci-Fi
2,Adventure
2,Mystery
2,Sci-Fi
3,Horror
3,Thriller
4,Animation
4,Comedy
4,Family
5,Action
5,Adventure
5,Fantasy
6,Action
6,Adventure
6,Fantasy
7,Comedy
7,Drama
7,Music
8,Comedy
9,Action
9,Adventure
9,Biography
10,Adventure
10,Drama
10,Romance
11,Adventure
11,Family
11,Fantasy
12,Biography
12,Drama
12,History
13,Action
13,Adventure
13,Sci-Fi
14,Animation
14,Adventure
14,Comedy
15,Action
15,Comedy
15,Drama
16,Animation
16,Adventure
16,Comedy
17,Biography
17,Drama
17,History
18,Action
18,Thriller
19,Biography
19,Drama
20,Drama
20,Mystery
20,Sci-Fi
21,Adventure
21,Drama
21,Thriller
22,Drama
23,Crime
23,Drama
23,Horror
24,Animation
24,Adventure
24,Comedy
25,Action
25,Adventure
25,Sci-Fi
26,Comedy
27,Action
27,Adventure
27,Drama
28,Horror
28,Thriller
29,Comedy
30,Action
30,Adventure
30,Drama
31,Comedy
32,Drama
32,Thriller
33,Action
33,Adventure
33,Sci-Fi
34,Action
34,Adventure
34,Comedy
35,Action
35,Horror
35,Sci-Fi
36,Action
36,Adventure
36,Sci-Fi
37,Adventure
37,Drama
37,Sci-Fi
38,Action
38,Adventure
38,Fantasy
39,Action
39,Adventure
39,Western
40,Comedy
40,Drama
41,Animation
41,Adventure
41,Comedy
42,Drama
43,Horror
44,Biography
44,Drama
44,History
45,Drama
46,Action
46,Adventure
46,Fantasy
47,Drama
47,Thriller
48,Adventure
48,Drama
48,Fantasy
49,Action
49,Adventure
49,Sci-Fi
50,Drama
51,Action
51,Adventure
51,Fantasy
52,Action
52,Adventure
52,Fantasy
53,Comedy
53,Drama
54,Action
54,Crime
54,Thriller
55,Action
55,Crime
55,Drama
56,Adventure
56,Drama
56,History
57,Crime
57,Horror
57,Thriller
58,Drama
58,Romance
59,Comedy
59,Drama
59,Romance
60,Biography
60,Drama
61,Action
61,Adventure
61,Sci-Fi
62,Horror
62,Mystery
62,Thriller
63,Crime
63,Drama
63,Mystery
64,Drama
64,Romance
64,Thriller
65,Drama
65,Mystery
65,Sci-Fi
66,Action
66,Adventure
66,Comedy
67,Drama
67,History
67,Thriller
68,Action
68,Adventure
68,Sci-Fi
69,Drama
70,Action
70,Drama
70,Thriller
71,Drama
71,History
72,Action
72,Drama
72,Romance
73,Drama
73,Fantasy
74,Drama
74,Romance
75,Animation
75,Adventure
75,Comedy
76,Action
76,Adventure
76,Fantasy
77,Action
77,Sci-Fi
78,Adventure
78,Drama
78,War
79,Action
79,Adventure
79,Fantasy
80,Action
80,Comedy
80,Fantasy
81,Action
81,Adventure
81,Sci-Fi
82,Comedy
82,Drama
83,Biography
83,Comedy
83,Crime
84,Crime
84,Drama
84,Mystery
85,Action
85,Crime
85,Thriller
86,Action
86,Adventure
86,Sci-Fi
87,Crime
87,Drama
88,Action
88,Adventure
88,Fantasy
89,Crime
89,Drama
89,Mystery
90,Action
90,Crime
90,Drama
91,Crime
91,Drama
91,Mystery
92,Action
92,Adventure
92,Fantasy
93,Drama
94,Comedy
94,Crime
94,Drama
95,Action
95,Adventure
95,Sci-Fi
96,Action
96,Comedy
96,Crime
97,Animation
97,Drama
97,Fantasy
98,Horror
98,Mystery
98,Sci-Fi
99,Drama
99,Mystery
99,Thriller
100,Crime
100,Drama
100,Thriller
101,Biography
101,Crime
101,Drama
102,Action
102,Adventure
102,Fantasy
103,Adventure
103,Drama
103,Sci-Fi
104,Crime
104,Mystery
104,Thriller
105,Action
105,Adventure
105,Comedy
106,Crime
106,Drama
106,Thriller
107,Comedy
108,Action
108,Adventure
108,Drama
109,Drama
110,Drama
110,Mystery
110,Sci-Fi
111,Action
111,Horror
111,Thriller
112,Biography
112,Drama
112,History
113,Romance
113,Sci-Fi
114,Action
114,Fantasy
114,War
115,Adventure
115,Drama
115,Fantasy
116,Comedy
117,Horror
117,Thriller
118,Action
118,Biography
118,Drama
119,Drama
119,Horror
119,Mystery
120,Animation
120,Adventure
120,Comedy
121,Adventure
121,Drama
121,Family
122,Adventure
122,Mystery
122,Sci-Fi
123,Adventure
123,Comedy
123,Romance
124,Action
125,Action
125,Thriller
126,Adventure
126,Drama
126,Family
127,Action
127,Adventure
127,Sci-Fi
128,Adventure
128,Crime
128,Mystery
129,Comedy
129,Family
129,Musical
130,Adventure
130,Drama
130,Thriller
131,Drama
132,Adventure
132,Comedy
132,Drama
133,Drama
133,Horror
133,Thriller
134,Drama
134,Music
135,Action
135,Crime
135,Thriller
136,Crime
136,Drama
136,Thriller
137,Crime
137,Drama
137,Thriller
138,Drama
138,Romance
139,Mystery
139,Thriller
140,Mystery
140,Thriller
140,Western
141,Action
141,Adventure
141,Sci-Fi
142,Comedy
142,Family
143,Biography
143,Comedy
143,Drama
144,Drama
145,Drama
145,Western
146,Drama
146,Mystery
146,Romance
147,Comedy
147,Drama
148,Action
148,Drama
148,Mystery
149,Comedy
150,Action
150,Adventure
150,Crime
151,Adventure
151,Family
151,Fantasy
152,Adventure
152,Sci-Fi
152,Thriller
153,Drama
154,Action
154,Crime
154,Drama
155,Drama
155,Horror
155,Mystery
156,Action
156,Horror
156,Sci-Fi
157,Action
157,Adventure
157,Sci-Fi
158,Comedy
158,Drama
158,Romance
159,Action
159,Comedy
159,Fantasy
160,Action
160,Comedy
160,Mystery
161,Thriller
161,War
162,Action
162,Comedy
162,Crime
163,Action
163,Adventure
163,Sci-Fi
164,Action
164,Adventure
164,Crime
165,Action
165,Adventure
165,Thriller
166,Drama
166,Fantasy
166,Romance
167,Action
167,Adventure
167,Comedy
168,Biography
168,Drama
168,History
169,Action
169,Drama
169,History
170,Action
170,Adventure
170,Thriller
171,Crime
171,Drama
171,Thriller
172,Animation
172,Adventure
172,Family
173,Adventure
173,Horror
174,Drama
174,Romance
174,Sci-Fi
175,Animation
175,Adventure
175,Comedy
176,Action
176,Adventure
176,Family
177,Action
177,Adventure
177,Drama
178,Action
178,Comedy
179,Horror
179,Mystery
179,Thriller
180,Action
180,Adventure
180,Comedy
181,Comedy
181,Romance
182,Horror
182,Mystery
183,Drama
183,Family
183,Fantasy
184,Sci-Fi
185,Drama
185,Thriller
186,Drama
186,Romance
187,Drama
187,War
188,Drama
188,Fantasy
188,Horror
189,Crime
189,Drama
190,Comedy
190,Drama
190,Romance
191,Drama
191,Romance
192,Drama
193,Crime
193,Drama
193,History
194,Horror
194,Sci-Fi
194,Thriller
195,Action
195,Drama
195,Sport
196,Action
196,Adventure
196,Sci-Fi
197,Crime
197,Drama
197,Thriller
198,Adventure
198,Biography
198,Drama
199,Biography
199,Drama
199,Thriller
200,Action
200,Comedy
200,Crime
201,Action
201,Adventure
201,Sci-Fi
202,Drama
202,Fantasy
202,Horror
203,Biography
203,Drama
203,Thriller
204,Action
204,Adventure
204,Sci-Fi
205,Action
205,Adventure
205,Mystery
206,Action
206,Adventure
206,Sci-Fi
207,Drama
207,Horror
208,Comedy
208,Drama
208,Romance
209,Comedy
209,Romance
210,Drama
210,Horror
210,Thriller
211,Action
211,Adventure
211,Drama
212,Drama
213,Action
213,Adventure
213,Sci-Fi
214,Action
214,Drama
214,Mystery
215,Action
215,Adventure
215,Fantasy
216,Action
216,Adventure
216,Fantasy
217,Action
217,Adventure
217,Sci-Fi
218,Action
218,Adventure
218,Comedy
219,Drama
219,Horror
220,Action
220,Comedy
221,Action
221,Adventure
221,Sci-Fi
222,Animation
222,Adventure
222,Comedy
223,Horror
223,Mystery
224,Crime
224,Drama
224,Mystery
225,Comedy
225,Crime
226,Drama
227,Comedy
227,Drama
227,Romance
228,Action
228,Adventure
228,Sci-Fi
229,Action
229,Adventure
229,Family
230,Horror
230,Sci-Fi
230,Thriller
231,Drama
